sentabr,сентябр
korrupsiya,коррупция
lanset,ланцет
leksiya,лекция
lyumenissensiya,люменисценция
mizanssena,мизансцена
opsion,опцион
pinset,пинцет
pitssa,пицца
plebissit,плебисцит
podstansiya,подстанция
porsiya,порция
potensial,потенциал
press-konferensiya,пресс-конференция
preferensiya,преференция
prinsip,принцип
prinsipial,принципиал
prinsipiallik,принципиаллик
prinsipli,принципли
prinsipsiz,принципсиз
provinsializm,провинциализм
provinsiya,провинция
proyeksiya,проекция
proyeksiyalamoq,проекцияламоқ
proporsional,пропорционал
proporsionallik,пропорционаллик
proporsiya,пропорция
proteksionizm,протекционизм
punksiya,пункция
radiostansiya,радиостанция
reaksion,реакцион
reaksioner,реакционер
reaksiya,реакция
reaksiyachi,реакциячи
redaksion,редакцион
redaksiya,редакция
reduksiya,редукция
rezeksiya,резекция
rezidensiya,резиденция
rekognossirovka,рекогносцировка
rekonstruksiya,реконструкция
rekonstruksiyalamoq,реконструкцияламоқ
reproduksiya,репродукция
refraksiya,рефракция
sanksiya,санкция
seksiya,секция
seleksion,селекцион
seleksiya,селекция
seleksiyachi,селекциячи
seleksiyachilik,селекциячилик
stansiya,станция
stronsiy,стронций
substansiya,субстанция
ssenariy,сценарий
ssenariychi,сценарийчи
ssenarist,сценарист
tansa,танца
teleinssenirovka,телеинсценировка
tendensioz,тенденциоз
tendensiozlik,тенденциозлик
tendensiya,тенденция
terset,терцет
tersiya,терция
transkripsion,транскрипцион
transkripsiya,транскрипция
transkripsiyalamoq,транскрипцияламоқ
film,фильм
fitonsid,фитонцид
fraksion,фракцион
fraksiooner,фракциоонер
fraksiya,фракция
fransiya,франция
fransuz,француз
funksional,функционал
funksiya,функция
xemosorbsiya,хемосорбция
shveysar,швейцар
shtangensirkul,штангенциркуль
ekstraksiya,экстракция
elektrostansiya,электростанция
ensefalit,энцефалит
ensefalogramma,энцефалограмма
ensiklopedik,энциклопедик
ensiklopedist,энциклопедист
ensiklopediya,энциклопедия
ensiklopediyachi,энциклопедиячи
essensiya,эссенция
yurisdiksiya,юрисдикция
yurisprudensiya,юриспруденция
beletaj,бельэтаж
erta,эрта
e'tibor,эътибор
ich-et,ич-эт
karate,каратэ
mer,мэр
eson,эсон
reket,рэкет
sutemizuvchilar,сутэмизувчилар
upa-elik,упа-элик
ehson,эҳсон
qaynegachi,қайнэгачи
ashob,асҳоб
mushaf,мусҳаф
yog,йог
yod,йод
mayonez,майонез
mikrorayon,микрорайон
mayor,майор
rayon,район
moyupa,мойупа
poyustun,пойустун
poyabzal,пойабзал
poyandoz,пойандоз
poyafzal,пойафзал
iye,ийе
konveyer,конвейер
pleyer,плейер
stayer,стайер
foye,фойе
avtomagistralavtomat,автомагистральавтомат
albatros,альбатрос
albom,альбом
alpinizm,альпинизм
alpinist,альпинист
alt,альт
alternativ,альтернатив
alternativa,альтернатива
altimetr,альтиметр
altchi,альтчи
alfa,альфа
alma-terapiya,альма-терапия
alyans,альянс
amalgama,амальгама
apelsin,апельсин
arergard,арьергард
asfalt,асфальт
asfaltlamoq,асфальтламоқ
asfaltli,асфальтли
atele,ателье
bazalt,базальт
balzam,бальзам
balzamlash,бальзамлаш
balneolog,бальнеолог
balneologik,бальнеологик
balneologiya,бальнеология
balneoterapiya,бальнеотерапия
balneotexnika,бальнеотехника
barelef,барельеф
barer,барьер
batalon,батальон
belveder,бельведер
belgiyalik,бельгиялик
belting,бельтинг
beletaj,бельэтаж
bilyard,бильярд
binokl,бинокль
biofiltr,биофильтр
bolonya,болонья
bolshevizm,большевизм
bolshevik,большевик
brakonerlik,браконьерлик
budilnik,будильник
bulvar,бульвар
buldenej,бульденеж
buldog,бульдог
buldozer,бульдозер
buldozerchi,бульдозерчи
bulon,бульон
valeryanka,валерьянка
valvatsiya,вальвация
vals,вальс
varete,варьете
vedomost,ведомость
verner,верньер
videofilm,видеофильм
vinetka,виньетка
volt,вольт
volfram,вольфрам
vulgar,вульгар
galvanizatsiya,гальванизация
galvanik,гальваник
galvanometr,гальванометр
gastrol,гастроль
gelmint,гельминт
gelmintoz,гельминтоз
gelmintologiya,гельминтология
geraldika,геральдика
gilza,гильза
giposulfit,гипосульфит
golf,гольф
gorelef,горельеф
daltonizm,дальтонизм
devalvatsiya,девальвация
delta,дельта
delfin,дельфин
delfinariy,дельфинарий
delfinsimonlar,дельфинсимонлар
diafilm,диафильм
impuls,импульс
insult,инсульт
intervyu,интервью
interer,интерьер
italyan,итальян
italyanlar,итальянлар
italyancha,итальянча
kalka,калька
kalkalamoq,калькаламоқ
kalkulyator,калькулятор
kalkulyatsiya,калькуляция
kalsiy,кальций
kapelmeyster,капельмейстер
karer,карьер
kastryulka,кастрюлька
katapulta,катапульта
kinofilm,кинофильм
kobalt,кобальт
konsultant,консультант
konsultativ,консультатив
konsultatsiya,консультация
konferanse,конферансье
konki,коньки
konkichi,конькичи
konyunktiva,коньюнктива
konyunktivit,коньюнктивит
konyunktura,коньюнктура
konyak,коньяк
kulminatsion,кульминацион
kulminatsiya,кульминация
kultivator,культиватор
kultivatsiya,культивация
kulturizm,культуризм
kurer,курьер
kyat,кьят
losos,лосось
loson,лосьон
marseleza,марсельеза
medalon,медальон
melxior,мельхиор
menshevizm,меньшевизм
menshevik,меньшевик
mikroinsult,микроинсульт
mikrofilm,микрофильм
modeler,модельер
molbert,мольберт
monokultoura,монокультоура
multi,мульти
nimpalto,нимпальто
okkultizm,оккультизм
oftalmologiya,офтальмология
pavilon,павильон
palma,пальма
palmazor,пальмазор
palpatsiya,пальпация
palto,пальто
paltobop,пальтобоп
paltolik,пальтолик
penalti,пенальти
pechene,печенье
polka,полька
pochtalon,почтальон
premera,премьера
premer-ministr,премьер-министр
press-pape,пресс-папье
pulverizator,пульверизатор
pulmonologiya,пульмонология
pulpa,пульпа
pulpit,пульпит
puls,пульс
pult,пульт
pesa,пьеса
rante,рантье
revalvatsiya,ревальвация
revolver,револьвер
rezba,резьба
rezbali,резьбали
relef,рельеф
rels,рельс
relsli,рельсли
relssiz,рельссиз
rubilnik,рубильник
saldo,сальдо
salto,сальто
selderey,сельдерей
senor,сеньор
senora,сеньора
sinka,синька
sinkalamoq,синькаламоқ
statya,статья
stelka,стелька
sudya,судья
sudyalik,судьялик
sulfat,сульфат
sulfatlar,сульфатлар
talk,тальк
telefilm,телефильм
ultimatum,ультиматум
ultra-,ультра-
ultrabinafsha,ультрабинафша
ultramikroskop,ультрамикроскоп
ultratovush,ультратовуш
ultraqisqa,ультрақисқа
umivalnik,умивальник
fakultativ,факультатив
fakultet,факультет
fakultetlalaro,факультетлаларо
falsifikator,фальсификатор
falsifikatsiya,фальсификация
feldmarshal,фельдмаршал
feldsher,фельдшер
feleton,фельетон
feletonchi,фельетончи
festival,фестиваль
fizkultura,физкультура
fizkulturachi,физкультурачи
film,фильм
filtr,фильтр
folga,фольга
folklor,фольклор
folklorist,фольклорист
folkloristika,фольклористика
folklorchi,фольклорчи
folklorshunos,фольклоршунос
folklorshunoslik,фольклоршунослик
fortepyano,фортепьяно
xolodilnik,холодильник
selsiy,цельсий
shifoner,шифоньер
shpilka,шпилька
emulsiya,эмульсия
eskadrilya,эскадрилья
yuriskonsult,юрисконсульт
Kompyuter,Компьютер
Mashab,Масҳаб
Mo''tabar,Мўътабар
Mo''tadil,Мўътадил
Ishoq,Исҳоқ
Absorbsiya,Абсорбция
Abstraksionizm,Абстракционизм
Abstraksionist,Абстракционист
Abstraksiya,Абстракция
Abssess,Абсцесс
Avtoinspeksiya,Автоинспекция
Avtoprsep,Автопрцеп
Avtostansiya,Автостанция
Adsorbsiya,Адсорбция
Akatsiya,Акация
Aksent,Акцент
Aksiz,Акциз
Aksioner,Акционер
Aksionerlik,Акционерлик
Aksiya,Акция
Aksiyadorlik,Акциядорлик
Attraksion,Аттракцион
Auksion,Аукцион
Biolyuminessensiya,Биолюминесценция
Vaksina,Вакцина
Venepunksiya,Венепункция
Gastrol-Konsert,Гастроль-Концерт
Gers,Герц
Gersog,Герцог
Gidrostansiya,Гидростанция
Gidroelektrostansiya,Гидроэлектростанция
Degustatsiya,Дегустатция
Deduksiya,Дедукция
Dezinseksiya,Дезинсекция
Dezinfeksiya,Дезинфекция
Dezinfeksiyalamoq,Дезинфекцияламоқ
Diksiya,Дикция
Direksiya,Дирекция
Disproporsiya,Диспропорция
Distansion,Дистанцион
Distansiya,Дистанция
Differensial,Дифференциал
Differensiatsiya,Дифференциация
Differensiyalamoq,Дифференцияламоқ
Impotensiya,Импотенция
Induksion,Индукцион
Induksiya,Индукция
Inersiya,Инерция
Inersiyali,Инерцияли
Inspeksiya,Инспекция
Instarsiya,Инстарция
Instruksiya,Инструкция
Inssenirovka,Инсценировка
Intelligensiya,Интеллигенция
Intervensiya,Интервенция
Intervensiyachi,Интервенциячи
Infeksion,Инфекцион
Infeksiya,Инфекция
In'eksiya,Инъекция
Kalsiy,Кальций
Kanseliyariya,Канцелиярия
Kanserogen,Канцероген
Kansler,Канцлер
Katolsizm,Католцизм
Kvars,Кварц
Kvarsit,Кварцит
Kvitansiya,Квитанция
Kinokonsert,Киноконцерт
Kinossenariy,Киносценарий
Kolleksioner,Коллекционер
Kolleksiya,Коллекция
Kolleksiyachchi,Коллекцияччи
Kolonsifra,Колонцифра
Kommersiya,Коммерция
Kompetensiya,Компетенция
Konveksiya,Конвекция
Konvensiya,Конвенция
Konkurensiya,Конкуренция
Konsorsium,Консорциум
Konstruksiya,Конструкция
Konferens-Zal,Конференц-Зал
Konferensiya,Конференция
Konsentrat,Концентрат
Konsentratli,Концентратли
Konsentrik,Концентрик
Konsepsiya,Концепция
Konsern,Концерн
Konsert,Концерт
Konsertmeyster,Концертмейстер
Konsessiya,Концессия
Konslager,Концлагерь
Korrespondensiya,Корреспонденция
Korrupsiya,Коррупция
Lanset,Ланцет
Leksiya,Лекция
Lyumenissensiya,Люменисценция
Mizanssena,Мизансцена
Opsion,Опцион
Pinset,Пинцет
Pitssa,Пицца
Plebissit,Плебисцит
Podstansiya,Подстанция
Porsiya,Порция
Potensial,Потенциал
Konferensiya,Конференция
Preferensiya,Преференция
Prinsip,Принцип
Prinsipial,Принципиал
Prinsipiallik,Принципиаллик
Prinsipli,Принципли
Prinsipsiz,Принципсиз
Provinsializm,Провинциализм
Provinsiya,Провинция
Proyeksiya,Проекция
Proyeksiyalamoq,Проекцияламоқ
Proporsional,Пропорционал
Proporsionallik,Пропорционаллик
Proporsiya,Пропорция
Proteksionizm,Протекционизм
Punksiya,Пункция
Radiostansiya,Радиостанция
Reaksion,Реакцион
Reaksioner,Реакционер
Reaksiya,Реакция
Reaksiyachi,Реакциячи
Redaksion,Редакцион
Redaksiya,Редакция
Reduksiya,Редукция
Rezeksiya,Резекция
Rezidensiya,Резиденция
Rekognossirovka,Рекогносцировка
Rekonstruksiya,Реконструкция
Rekonstruksiyalamoq,Реконструкцияламоқ
Reproduksiya,Репродукция
Refraksiya,Рефракция
Sanksiya,Санкция
Seksiya,Секция
Seleksion,Селекцион
Seleksiya,Селекция
Seleksiyachi,Селекциячи
Seleksiyachilik,Селекциячилик
Stansiya,Станция
Stronsiy,Стронций
Substansiya,Субстанция
Ssenariy,Сценарий
Ssenariychi,Сценарийчи
Ssenarist,Сценарист
Tansa,Танца
Teleinssenirovka,Телеинсценировка
Tendensioz,Тенденциоз
Tendensiozlik,Тенденциозлик
Tendensiya,Тенденция
Terset,Терцет
Tersiya,Терция
Transkripsion,Транскрипцион
Transkripsiya,Транскрипция
Transkripsiyalamoq,Транскрипцияламоқ
Film,Фильм
Fitonsid,Фитонцид
Fraksion,Фракцион
Fraksiooner,Фракциоонер
Fraksiya,Фракция
Fransiya,Франция
Fransuz,Француз
Fransuzlar,Французлар
Fransuzcha,Французча
Funksional,Функционал
Funksiya,Функция
Xemosorbsiya,Хемосорбция
Shveysar,Швейцар
Shtangensirkul,Штангенциркуль
Ekstraksiya,Экстракция
Elektrostansiya,Электростанция
Ensefalit,Энцефалит
Ensefalogramma,Энцефалограмма
Ensiklopedik,Энциклопедик
Ensiklopedist,Энциклопедист
Ensiklopediya,Энциклопедия
Ensiklopediyachi,Энциклопедиячи
Essensiya,Эссенция
Yurisdiksiya,Юрисдикция
Yurisprudensiya,Юриспруденция
Beletaj,Бельэтаж
Erta,Эрта
E'tibor,Эътибор
Ich-Et,Ич-Эт
Karate,Каратэ
Mer,Мэр
Eson,Эсон
Reket,Рэкет
Sutemizuvchilar,Сутэмизувчилар
Upa-Elik,Упа-Элик
Ehson,Эҳсон
Qaynegachi,Қайнэгачи
Ashob,Асҳоб
Mushaf,Мусҳаф
Yog,Йог
Yod,Йод
Mayonez,Майонез
Mikrorayon,Микрорайон
Mayor,Майор
Rayon,Район
Moyupa,Мойупа
Poyustun,Пойустун
Poyabzal,Пойабзал
Poyandoz,Пойандоз
Poyafzal,Пойафзал
Iye,Ийе
Konveyer,Конвейер
Pleyer,Плейер
Stayer,Стайер
Foye,Фойе
Avtomagistralavtomat,Автомагистральавтомат
Albatros,Альбатрос
Albom,Альбом
Alpinizm,Альпинизм
Alpinist,Альпинист
Alt,Альт
Alternativ,Альтернатив
Alternativa,Альтернатива
Altimetr,Альтиметр
Altchi,Альтчи
Alfa,Альфа
Alma-Terapiya,Альма-Терапия
Alyans,Альянс
Amalgama,Амальгама
Apelsin,Апельсин
Arergard,Арьергард
Asfalt,Асфальт
Asfaltlamoq,Асфальтламоқ
Asfaltli,Асфальтли
Atele,Ателье
Bazalt,Базальт
Balzam,Бальзам
Balneolog,Бальнеолог
Balneoterapiya,Бальнеотерапия
Balneotexnika,Бальнеотехника
Barelef,Барельеф
Barer,Барьер
Batalon,Батальон
Belveder,Бельведер
Belgiyalik,Бельгиялик
Belting,Бельтинг
Beletaj,Бельэтаж
Bilyard,Бильярд
Binokl,Бинокль
Biofiltr,Биофильтр
Bolonya,Болонья
Bolshevizm,Большевизм
Bolshevik,Большевик
Brakonerlik,Браконьерлик
Budilnik,Будильник
Bulvar,Бульвар
Buldenej,Бульденеж
Buldog,Бульдог
Buldozer,Бульдозер
Buldozerchi,Бульдозерчи
Bulon,Бульон
Valeryanka,Валерьянка
Valvatsiya,Вальвация
Vals,Вальс
Varete,Варьете
Vedomost,Ведомость
Verner,Верньер
Videofilm,Видеофильм
Vinetka,Виньетка
Volt,Вольт
Volta,Вольта
Voltli,Вольтли
Voltmetr,Вольтметр
Volfram,Вольфрам
Vulgar,Вульгар
Vulgarizm,Вульгаризм
Vulgarlashtirmoq,Вульгарлаштирмоқ
Galvanizatsiya,Гальванизация
Galvanik,Гальваник
Galvanometr,Гальванометр
Gastrol,Гастроль
Gelmint,Гельминт
Gelmintoz,Гельминтоз
Gelmintologiya,Гельминтология
Geraldika,Геральдика
Gilza,Гильза
Giposulfit,Гипосульфит
Golf,Гольф
Gorelef,Горельеф
Daltonizm,Дальтонизм
Devalvatsiya,Девальвация
Delta,Дельта
Delfin,Дельфин
Delfinariy,Дельфинарий
Delfinsimonlar,Дельфинсимонлар
Diafilm,Диафильм
Impuls,Импульс
Insult,Инсульт
Intervyu,Интервью
Interer,Интерьер
Italyan,Итальян
Kalka,Калька
Kalkulyator,Калькулятор
Kalkulyatsiya,Калькуляция
Kalsiy,Кальций
Kapelmeyster,Капельмейстер
Karer,Карьер
Kastryulka,Кастрюлька
Katapulta,Катапульта
Kinofilm,Кинофильм
Kobalt,Кобальт
Konsultant,Консультант
Konsultativ,Консультатив
Konsultatsiya,Консультация
Konferanse,Конферансье
Konki,Коньки
Konkichi,Конькичи
Konyunktiva,Коньюнктива
Konyunktivit,Коньюнктивит
Konyunktura,Коньюнктура
Konyak,Коньяк
Kulminatsion,Кульминацион
Kulminatsiya,Кульминация
Kultivator,Культиватор
Kultivatsiya,Культивация
Kulturizm,Культуризм
Kurer,Курьер
Kyat,Кьят
Losos,Лосось
Loson,Лосьон
Marseleza,Марсельеза
Medalon,Медальон
Melxior,Мельхиор
Menshevizm,Меньшевизм
Menshevik,Меньшевик
Mikroinsult,Микроинсульт
Mikrofilm,Микрофильм
Modeler,Модельер
Molbert,Мольберт
Monokultoura,Монокультоура
Multi,Мульти
Nimpalto,Нимпальто
Okkultizm,Оккультизм
Oftalmologiya,Офтальмология
Pavilon,Павильон
Palma,Пальма
Palmazor,Пальмазор
Palpatsiya,Пальпация
Palto,Пальто
Paltobop,Пальтобоп
Paltolik,Пальтолик
Penalti,Пенальти
Pechene,Печенье
Polka,Полька
Pochtalon,Почтальон
Premera,Премьера
Premer-Ministr,Премьер-Министр
Press-Pape,Пресс-Папье
Pulverizator,Пульверизатор
Pulmonologiya,Пульмонология
Pulpa,Пульпа
Pulpit,Пульпит
Puls,Пульс
Pult,Пульт
Pesa,Пьеса
Rante,Рантье
Revalvatsiya,Ревальвация
Revolver,Револьвер
Rezba,Резьба
Rezbali,Резьбали
Relef,Рельеф
Rels,Рельс
Relsli,Рельсли
Relssiz,Рельссиз
Rubilnik,Рубильник
Saldo,Сальдо
Salto,Сальто
Selderey,Сельдерей
Senor,Сеньор
Senora,Сеньора
Sinka,Синька
Sinkalamoq,Синькаламоқ
Statya,Статья
Stelka,Стелька
Sudya,Судья
Sudyalik,Судьялик
Sulfat,Сульфат
Sulfatlar,Сульфатлар
Talk,Тальк
Telefilm,Телефильм
Ultimatum,Ультиматум
Ultra,Ультра
Umivalnik,Умивальник
Fakultativ,Факультатив
Fakultet,Факультет
Fakultetlalaro,Факультетлаларо
Falsifikator,Фальсификатор
Falsifikatsiya,Фальсификация
Feldmarshal,Фельдмаршал
Feldsher,Фельдшер
Feleton,Фельетон
Feletonchi,Фельетончи
Festival,Фестиваль
Fizkultura,Физкультура
Fizkulturachi,Физкультурачи
Film,Фильм
Filtr,Фильтр
Folga,Фольга
Folklor,Фольклор
Fortepyano,Фортепьяно
Xolodilnik,Холодильник
Selsiy,Цельсий
Shifoner,Шифоньер
Shpilka,Шпилька
Emulsiya,Эмульсия
Eskadrilya,Эскадрилья
Yuriskonsult,Юрисконсульт
KOMPYUTER,КОМПЬЮТЕР
MASHAB,МАСҲАБ
MO''TABAR,МЎЪТАБАР
MO''TADIL,МЎЪТАДИЛ
ISHOQ,ИСҲОҚ
ABSORBSIYA,АБСОРБЦИЯ
ABSTRAKSIONIZM,АБСТРАКЦИОНИЗМ
ABSTRAKSIONIST,АБСТРАКЦИОНИСТ
ABSTRAKSIYA,АБСТРАКЦИЯ
ABSSESS,АБСЦЕСС
AVTOINSPEKSIYA,АВТОИНСПЕКЦИЯ
AVTOPRSEP,АВТОПРЦЕП
AVTOSTANSIYA,АВТОСТАНЦИЯ
ADSORBSIYA,АДСОРБЦИЯ
AKATSIYA,АКАЦИЯ
AKSENT,АКЦЕНТ
AKSIZ,АКЦИЗ
AKSIONER,АКЦИОНЕР
AKSIONERLIK,АКЦИОНЕРЛИК
AKSIYA,АКЦИЯ
AKSIYADORLIK,АКЦИЯДОРЛИК
ATTRAKSION,АТТРАКЦИОН
AUKSION,АУКЦИОН
BIOLYUMINESSENSIYA,БИОЛЮМИНЕСЦЕНЦИЯ
VAKSINA,ВАКЦИНА
VENEPUNKSIYA,ВЕНЕПУНКЦИЯ
GASTROL-KONSERT,ГАСТРОЛЬ-КОНЦЕРТ
GERS,ГЕРЦ
GERSOG,ГЕРЦОГ
GIDROSTANSIYA,ГИДРОСТАНЦИЯ
GIDROELEKTROSTANSIYA,ГИДРОЭЛЕКТРОСТАНЦИЯ
DEGUSTATSIYA,ДЕГУСТАТЦИЯ
DEDUKSIYA,ДЕДУКЦИЯ
DEZINSEKSIYA,ДЕЗИНСЕКЦИЯ
DEZINFEKSIYA,ДЕЗИНФЕКЦИЯ
DEZINFEKSIYALAMOQ,ДЕЗИНФЕКЦИЯЛАМОҚ
DIKSIYA,ДИКЦИЯ
DIREKSIYA,ДИРЕКЦИЯ
DISPROPORSIYA,ДИСПРОПОРЦИЯ
DISTANSION,ДИСТАНЦИОН
DISTANSIYA,ДИСТАНЦИЯ
DIFFERENSIAL,ДИФФЕРЕНЦИАЛ
DIFFERENSIATSIYA,ДИФФЕРЕНЦИАЦИЯ
DIFFERENSIYALAMOQ,ДИФФЕРЕНЦИЯЛАМОҚ
IMPOTENSIYA,ИМПОТЕНЦИЯ
INDUKSION,ИНДУКЦИОН
INDUKSIYA,ИНДУКЦИЯ
INERSIYA,ИНЕРЦИЯ
INERSIYALI,ИНЕРЦИЯЛИ
INSPEKSIYA,ИНСПЕКЦИЯ
INSTARSIYA,ИНСТАРЦИЯ
INSTRUKSIYA,ИНСТРУКЦИЯ
INSSENIROVKA,ИНСЦЕНИРОВКА
INTELLIGENSIYA,ИНТЕЛЛИГЕНЦИЯ
INTERVENSIYA,ИНТЕРВЕНЦИЯ
INTERVENSIYACHI,ИНТЕРВЕНЦИЯЧИ
INFEKSION,ИНФЕКЦИОН
INFEKSIYA,ИНФЕКЦИЯ
IN'EKSIYA,ИНЪЕКЦИЯ
KALSIY,КАЛЬЦИЙ
KANSELIYARIYA,КАНЦЕЛИЯРИЯ
KANSEROGEN,КАНЦЕРОГЕН
KANSLER,КАНЦЛЕР
KATOLSIZM,КАТОЛЦИЗМ
KVARS,КВАРЦ
KVARSIT,КВАРЦИТ
KVITANSIYA,КВИТАНЦИЯ
KINOKONSERT,КИНОКОНЦЕРТ
KINOSSENARIY,КИНОСЦЕНАРИЙ
KOLLEKSIONER,КОЛЛЕКЦИОНЕР
KOLLEKSIYA,КОЛЛЕКЦИЯ
KOLLEKSIYACHCHI,КОЛЛЕКЦИЯЧЧИ
KOLONSIFRA,КОЛОНЦИФРА
KOMMERSIYA,КОММЕРЦИЯ
KOMPETENSIYA,КОМПЕТЕНЦИЯ
KONVEKSIYA,КОНВЕКЦИЯ
KONVENSIYA,КОНВЕНЦИЯ
KONKURENSIYA,КОНКУРЕНЦИЯ
KONSORSIUM,КОНСОРЦИУМ
KONSTRUKSIYA,КОНСТРУКЦИЯ
KONFERENS-ZAL,КОНФЕРЕНЦ-ЗАЛ
