сентябр,sentabr
Концертмейстер,Konsertmeyster
Концессия,Konsessiya
Концлагерь,Konslager
Корреспонденция,Korrespondensiya
Коррупция,Korrupsiya
Ланцет,Lanset
Лекция,Leksiya
Люменисценция,Lyumenissensiya
Мизансцена,Mizanssena
Опцион,Opsion
Пинцет,Pinset
Пицца,Pitssa
Плебисцит,Plebissit
Подстанция,Podstansiya
Порция,Porsiya
Потенциал,Potensial
Конференция,Konferensiya
Преференция,Preferensiya
Принцип,Prinsip
Принципиал,Prinsipial
Принципиаллик,Prinsipiallik
Принципли,Prinsipli
Принципсиз,Prinsipsiz
Провинциализм,Provinsializm
Провинция,Provinsiya
Проекция,Proyeksiya
Проекцияламоқ,Proyeksiyalamoq
Пропорционал,Proporsional
Пропорционаллик,Proporsionallik
Пропорция,Proporsiya
Протекционизм,Proteksionizm
Пункция,Punksiya
Радиостанция,Radiostansiya
Реакцион,Reaksion
Реакционер,Reaksioner
Реакция,Reaksiya
Реакциячи,Reaksiyachi
Редакцион,Redaksion
Редакция,Redaksiya
Редукция,Reduksiya
Резекция,Rezeksiya
Резиденция,Rezidensiya
Рекогносцировка,Rekognossirovka
Реконструкция,Rekonstruksiya
Реконструкцияламоқ,Rekonstruksiyalamoq
Репродукция,Reproduksiya
Рефракция,Refraksiya
Санкция,Sanksiya
Секция,Seksiya
Селекцион,Seleksion
Селекция,Seleksiya
Селекциячи,Seleksiyachi
Селекциячилик,Seleksiyachilik
Станция,Stansiya
Стронций,Stronsiy
Субстанция,Substansiya
Сценарий,Ssenariy
Сценарийчи,Ssenariychi
Сценарист,Ssenarist
Танца,Tansa
Телеинсценировка,Teleinssenirovka
Тенденциоз,Tendensioz
Тенденциозлик,Tendensiozlik
Тенденция,Tendensiya
Терцет,Terset
Терция,Tersiya
Транскрипцион,Transkripsion
Транскрипция,Transkripsiya
Транскрипцияламоқ,Transkripsiyalamoq
Фильм,Film
Фитонцид,Fitonsid
Фракцион,Fraksion
Фракциоонер,Fraksiooner
Фракция,Fraksiya
Франция,Fransiya
Француз,Fransuz
Французлар,Fransuzlar
Французча,Fransuzcha
Функционал,Funksional
Функция,Funksiya
Хемосорбция,Xemosorbsiya
Швейцар,Shveysar
Штангенциркуль,Shtangensirkul
Экстракция,Ekstraksiya
Электростанция,Elektrostansiya
Энцефалит,Ensefalit
Энцефалограмма,Ensefalogramma
Энциклопедик,Ensiklopedik
Энциклопедист,Ensiklopedist
Энциклопедия,Ensiklopediya
Энциклопедиячи,Ensiklopediyachi
Эссенция,Essensiya
Юрисдикция,Yurisdiksiya
Юриспруденция,Yurisprudensiya
Бельэтаж,Beletaj
Эрта,Erta
Эътибор,E'tibor
Ич-Эт,Ich-Et
Каратэ,Karate
Мэр,Mer
Эсон,Eson
Рэкет,Reket
Сутэмизувчилар,Sutemizuvchilar
Упа-Элик,Upa-Elik
Эҳсон,Ehson
Қайнэгачи,Qaynegachi
Асҳоб,Ashob
Мусҳаф,Mushaf
Йог,Yog
Йод,Yod
Майонез,Mayonez
Микрорайон,Mikrorayon
Майор,Mayor
Район,Rayon
Мойупа,Moyupa
Пойустун,Poyustun
Пойабзал,Poyabzal
Пойандоз,Poyandoz
Пойафзал,Poyafzal
Ийе,Iye
Конвейер,Konveyer
Плейер,Pleyer
Стайер,Stayer
Фойе,Foye
Автомагистральавтомат,Avtomagistralavtomat
Альбатрос,Albatros
Альбом,Albom
Альпинизм,Alpinizm
Альпинист,Alpinist
Альт,Alt
Альтернатив,Alternativ
Альтернатива,Alternativa
Альтиметр,Altimetr
Альтчи,Altchi
Альфа,Alfa
Альма-Терапия,Alma-Terapiya
Альянс,Alyans
Амальгама,Amalgama
Апельсин,Apelsin
Арьергард,Arergard
Асфальт,Asfalt
Асфальтламоқ,Asfaltlamoq
Асфальтли,Asfaltli
Ателье,Atele
Базальт,Bazalt
Бальзам,Balzam
Бальнеолог,Balneolog
Бальнеотерапия,Balneoterapiya
Бальнеотехника,Balneotexnika
Барельеф,Barelef
Барьер,Barer
Батальон,Batalon
Бельведер,Belveder
Бельгиялик,Belgiyalik
Бельтинг,Belting
Бельэтаж,Beletaj
Бильярд,Bilyard
Бинокль,Binokl
Биофильтр,Biofiltr
Болонья,Bolonya
Большевизм,Bolshevizm
Большевик,Bolshevik
Браконьерлик,Brakonerlik
Будильник,Budilnik
Бульвар,Bulvar
Бульденеж,Buldenej
Бульдог,Buldog
Бульдозер,Buldozer
Бульдозерчи,Buldozerchi
Бульон,Bulon
Валерьянка,Valeryanka
Вальвация,Valvatsiya
Вальс,Vals
Варьете,Varete
Ведомость,Vedomost
Верньер,Verner
Видеофильм,Videofilm
Виньетка,Vinetka
Вольт,Volt
Вольта,Volta
Вольтли,Voltli
Вольтметр,Voltmetr
Вольфрам,Volfram
Вульгар,Vulgar
Вульгаризм,Vulgarizm
Вульгарлаштирмоқ,Vulgarlashtirmoq
Гальванизация,Galvanizatsiya
Гальваник,Galvanik
Гальванометр,Galvanometr
Гастроль,Gastrol
Гельминт,Gelmint
Гельминтоз,Gelmintoz
Гельминтология,Gelmintologiya
Геральдика,Geraldika
Гильза,Gilza
Гипосульфит,Giposulfit
Гольф,Golf
Горельеф,Gorelef
Дальтонизм,Daltonizm
Девальвация,Devalvatsiya
Дельта,Delta
Дельфин,Delfin
Дельфинарий,Delfinariy
Дельфинсимонлар,Delfinsimonlar
Диафильм,Diafilm
Импульс,Impuls
Инсульт,Insult
Интервью,Intervyu
Интерьер,Interer
Итальян,Italyan
Калька,Kalka
Калькулятор,Kalkulyator
Калькуляция,Kalkulyatsiya
Кальций,Kalsiy
Капельмейстер,Kapelmeyster
Карьер,Karer
Кастрюлька,Kastryulka
Катапульта,Katapulta
Кинофильм,Kinofilm
Кобальт,Kobalt
Консультант,Konsultant
Консультатив,Konsultativ
Консультация,Konsultatsiya
Конферансье,Konferanse
Коньки,Konki
Конькичи,Konkichi
Коньюнктива,Konyunktiva
Коньюнктивит,Konyunktivit
Коньюнктура,Konyunktura
Коньяк,Konyak
Кульминацион,Kulminatsion
Кульминация,Kulminatsiya
Культиватор,Kultivator
Культивация,Kultivatsiya
Культуризм,Kulturizm
Курьер,Kurer
Кьят,Kyat
Лосось,Losos
Лосьон,Loson
Марсельеза,Marseleza
Медальон,Medalon
Мельхиор,Melxior
Меньшевизм,Menshevizm
Меньшевик,Menshevik
Микроинсульт,Mikroinsult
Микрофильм,Mikrofilm
Модельер,Modeler
Мольберт,Molbert
Монокультоура,Monokultoura
Мульти,Multi
Нимпальто,Nimpalto
Оккультизм,Okkultizm
Офтальмология,Oftalmologiya
Павильон,Pavilon
Пальма,Palma
Пальмазор,Palmazor
Пальпация,Palpatsiya
Пальто,Palto
Пальтобоп,Paltobop
Пальтолик,Paltolik
Пенальти,Penalti
Печенье,Pechene
Полька,Polka
Почтальон,Pochtalon
Премьера,Premera
Премьер-Министр,Premer-Ministr
Пресс-Папье,Press-Pape
Пульверизатор,Pulverizator
Пульмонология,Pulmonologiya
Пульпа,Pulpa
Пульпит,Pulpit
Пульс,Puls
Пульт,Pult
Пьеса,Pesa
Рантье,Rante
Ревальвация,Revalvatsiya
Револьвер,Revolver
Резьба,Rezba
Резьбали,Rezbali
Рельеф,Relef
Рельс,Rels
Рельсли,Relsli
Рельссиз,Relssiz
Рубильник,Rubilnik
Сальдо,Saldo
Сальто,Salto
Сельдерей,Selderey
Сеньор,Senor
Сеньора,Senora
Синька,Sinka
Синькаламоқ,Sinkalamoq
Статья,Statya
Стелька,Stelka
Судья,Sudya
Судьялик,Sudyalik
Сульфат,Sulfat
Сульфатлар,Sulfatlar
Тальк,Talk
Телефильм,Telefilm
Ультиматум,Ultimatum
Ультра,Ultra
Умивальник,Umivalnik
Факультатив,Fakultativ
Факультет,Fakultet
Факультетлаларо,Fakultetlalaro
Фальсификатор,Falsifikator
Фальсификация,Falsifikatsiya
Фельдмаршал,Feldmarshal
Фельдшер,Feldsher
Фельетон,Feleton
Фельетончи,Feletonchi
Фестиваль,Festival
Физкультура,Fizkultura
Физкультурачи,Fizkulturachi
Фильм,Film
Фильтр,Filtr
Фольга,Folga
Фольклор,Folklor
Фортепьяно,Fortepyano
Холодильник,Xolodilnik
Цельсий,Selsiy
Шифоньер,Shifoner
Шпилька,Shpilka
Эмульсия,Emulsiya
Эскадрилья,Eskadrilya
Юрисконсульт,Yuriskonsult
КОМПЬЮТЕР,KOMPYUTER
МАСҲАБ,MASHAB
МЎЪТАБАР,MO''TABAR
МЎЪТАДИЛ,MO''TADIL
ИСҲОҚ,ISHOQ
АБСОРБЦИЯ,ABSORBSIYA
АБСТРАКЦИОНИЗМ,ABSTRAKSIONIZM
АБСТРАКЦИОНИСТ,ABSTRAKSIONIST
АБСТРАКЦИЯ,ABSTRAKSIYA
АБСЦЕСС,ABSSESS
АВТОИНСПЕКЦИЯ,AVTOINSPEKSIYA
АВТОПРЦЕП,AVTOPRSEP
АВТОСТАНЦИЯ,AVTOSTANSIYA
АДСОРБЦИЯ,ADSORBSIYA
АКАЦИЯ,AKATSIYA
АКЦЕНТ,AKSENT
АКЦИЗ,AKSIZ
АКЦИОНЕР,AKSIONER
АКЦИОНЕРЛИК,AKSIONERLIK
АКЦИЯ,AKSIYA
АКЦИЯДОРЛИК,AKSIYADORLIK
АТТРАКЦИОН,ATTRAKSION
АУКЦИОН,AUKSION
БИОЛЮМИНЕСЦЕНЦИЯ,BIOLYUMINESSENSIYA
ВАКЦИНА,VAKSINA
ВЕНЕПУНКЦИЯ,VENEPUNKSIYA
ГАСТРОЛЬ-КОНЦЕРТ,GASTROL-KONSERT
ГЕРЦ,GERS
ГЕРЦОГ,GERSOG
ГИДРОСТАНЦИЯ,GIDROSTANSIYA
ГИДРОЭЛЕКТРОСТАНЦИЯ,GIDROELEKTROSTANSIYA
ДЕГУСТАТЦИЯ,DEGUSTATSIYA
ДЕДУКЦИЯ,DEDUKSIYA
ДЕЗИНСЕКЦИЯ,DEZINSEKSIYA
ДЕЗИНФЕКЦИЯ,DEZINFEKSIYA
ДЕЗИНФЕКЦИЯЛАМОҚ,DEZINFEKSIYALAMOQ
ДИКЦИЯ,DIKSIYA
ДИРЕКЦИЯ,DIREKSIYA
ДИСПРОПОРЦИЯ,DISPROPORSIYA
ДИСТАНЦИОН,DISTANSION
ДИСТАНЦИЯ,DISTANSIYA
ДИФФЕРЕНЦИАЛ,DIFFERENSIAL
ДИФФЕРЕНЦИАЦИЯ,DIFFERENSIATSIYA
ДИФФЕРЕНЦИЯЛАМОҚ,DIFFERENSIYALAMOQ
ИМПОТЕНЦИЯ,IMPOTENSIYA
ИНДУКЦИОН,INDUKSION
ИНДУКЦИЯ,INDUKSIYA
ИНЕРЦИЯ,INERSIYA
ИНЕРЦИЯЛИ,INERSIYALI
ИНСПЕКЦИЯ,INSPEKSIYA
ИНСТАРЦИЯ,INSTARSIYA
ИНСТРУКЦИЯ,INSTRUKSIYA
ИНСЦЕНИРОВКА,INSSENIROVKA
ИНТЕЛЛИГЕНЦИЯ,INTELLIGENSIYA
ИНТЕРВЕНЦИЯ,INTERVENSIYA
ИНТЕРВЕНЦИЯЧИ,INTERVENSIYACHI
ИНФЕКЦИОН,INFEKSION
ИНФЕКЦИЯ,INFEKSIYA
ИНЪЕКЦИЯ,IN'EKSIYA
КАЛЬЦИЙ,KALSIY
КАНЦЕЛИЯРИЯ,KANSELIYARIYA
КАНЦЕРОГЕН,KANSEROGEN
КАНЦЛЕР,KANSLER
КАТОЛЦИЗМ,KATOLSIZM
КВАРЦ,KVARS
КВАРЦИТ,KVARSIT
КВИТАНЦИЯ,KVITANSIYA
КИНОКОНЦЕРТ,KINOKONSERT
КИНОСЦЕНАРИЙ,KINOSSENARIY
КОЛЛЕКЦИОНЕР,KOLLEKSIONER
КОЛЛЕКЦИЯ,KOLLEKSIYA
КОЛЛЕКЦИЯЧЧИ,KOLLEKSIYACHCHI
КОЛОНЦИФРА,KOLONSIFRA
КОММЕРЦИЯ,KOMMERSIYA
КОМПЕТЕНЦИЯ,KOMPETENSIYA
КОНВЕКЦИЯ,KONVEKSIYA
КОНВЕНЦИЯ,KONVENSIYA
КОНКУРЕНЦИЯ,KONKURENSIYA
КОНСОРЦИУМ,KONSORSIUM
КОНСТРУКЦИЯ,KONSTRUKSIYA
КОНФЕРЕНЦ-ЗАЛ,KONFERENS-ZAL
